Inclination_ref,Orientation_ref,M7,M8
5,90,-0.0708986751876171,-0.14182930830860702
5,90,-0.07077084345412579,-0.1416695186417429
5,90,-0.07094661208767634,-0.14187724520866626
5,90,-0.07077084345412579,-0.1418932241753527
5,90,-0.0707868224208122,-0.14181332934192062
5,90,-0.0707868224208122,-0.14174941347517495
5,90,-0.07096259105436276,-0.14174941347517495
5,90,-0.07080280138749862,-0.14182930830860702
5,100,-0.07075486448743938,-0.14181332934192062
5,100,-0.07077084345412579,-0.14163756070837005
5,100,-0.07045126412039752,-0.1408705703074222
5,100,-0.06931675748566216,-0.14018347473990642
5,100,-0.06762298701690231,-0.13994379023961023
5,100,-0.06560963721441421,-0.13981595850611891
5,100,-0.06321279221145217,-0.13962421090588195
5,100,-0.05995308300742379,-0.13959225297250913
5,100,-0.05635781550298073,-0.13960823193919553
5,100,-0.054328486733806206,-0.1397840005727461
5,100,-0.05260275833167354,-0.13975204263937327
5,100,-0.0511486723632099,-0.13954431607244988
5,100,-0.05017395539533867,-0.13954431607244988
5,100,-0.04913532256072179,-0.13948040020570424
5,100,-0.048767806326934275,-0.13960823193919553
5,100,-0.04868791149350221,-0.1397999795394325
5,100,-0.04860801666007014,-0.13965616883925477
5,100,-0.0485600797600109,-0.13948040020570424
5,100,-0.04854410079332449,-0.13954431607244988
5,100,-0.04854410079332449,-0.13984791643949174
5,100,-0.04852812182663807,-0.13970410573931402
5,100,-0.04852812182663807,-0.13951235813907706
5,100,-0.04849616389326525,-0.13954431607244988
5,100,-0.04849616389326525,-0.1396721478059412
5,100,-0.04849616389326525,-0.13986389540617816
5,100,-0.04848018492657883,-0.1397840005727461
5,100,-0.04848018492657883,-0.13949637917239063
5,100,-0.04848018492657883,-0.13935256847221292
5,100,-0.04848018492657883,-0.13941648433895856
5,100,-0.04846420595989242,-0.13965616883925477
5,100,-0.04846420595989242,-0.13970410573931402
5,100,-0.04846420595989242,-0.13948040020570424
5,100,-0.04846420595989242,-0.13954431607244988
5,100,-0.04846420595989242,-0.13973606367268684
5,100,-0.04846420595989242,-0.13987987437286456
5,100,-0.04846420595989242,-0.1395602950391363
5,100,-0.04846420595989242,-0.13962421090588195
5,100,-0.04846420595989242,-0.1396721478059412
5,100,-0.04846420595989242,-0.13986389540617816
5,100,-0.04846420595989242,-0.1395762740058227
5,100,-0.04846420595989242,-0.13952833710576348
5,100,-0.04846420595989242,-0.13972008470600042
5,100,-0.04846420595989242,-0.13973606367268684
5,100,-0.04846420595989242,-0.13959225297250913
5,100,-0.04846420595989242,-0.13962421090588195
5,100,-0.04846420595989242,-0.1396721478059412
5,100,-0.04846420595989242,-0.1395762740058227
5,100,-0.04846420595989242,-0.13962421090588195
5,100,-0.04846420595989242,-0.1396721478059412
5,100,-0.04846420595989242,-0.1395602950391363
5,100,-0.04846420595989242,-0.13948040020570424
5,100,-0.04846420595989242,-0.1397999795394325
5,100,-0.04846420595989242,-0.13962421090588195
5,100,-0.04846420595989242,-0.13948040020570424
5,100,-0.04846420595989242,-0.13949637917239063
5,100,-0.04846420595989242,-0.13973606367268684
5,100,-0.04846420595989242,-0.13970410573931402
5,100,-0.04846420595989242,-0.1394644212390178
5,100,-0.04846420595989242,-0.13975204263937327
5,100,-0.04846420595989242,-0.13975204263937327
5,100,-0.04846420595989242,-0.13951235813907706
5,100,-0.04846420595989242,-0.1396881267726276
5,100,-0.04846420595989242,-0.1396721478059412
5,100,-0.04846420595989242,-0.13964018987256838
5,100,-0.04846420595989242,-0.1395762740058227
5,100,-0.04846420595989242,-0.1396881267726276
5,100,-0.04846420595989242,-0.13973606367268684
5,100,-0.04846420595989242,-0.13960823193919553
5,100,-0.04846420595989242,-0.13948040020570424
5,100,-0.04846420595989242,-0.1394644212390178
5,100,-0.04846420595989242,-0.13949637917239063
5,100,-0.04846420595989242,-0.13948040020570424
5,100,-0.04846420595989242,-0.13952833710576348
5,100,-0.04846420595989242,-0.1395762740058227
5,100,-0.04846420595989242,-0.13976802160605967
5,100,-0.04846420595989242,-0.13970410573931402
5,100,-0.04846420595989242,-0.1397840005727461
5,100,-0.04846420595989242,-0.13951235813907706
5,100,-0.04846420595989242,-0.13948040020570424
5,100,-0.04848018492657883,-0.13962421090588195
5,100,-0.04848018492657883,-0.13981595850611891
5,100,-0.04848018492657883,-0.13960823193919553
5,100,-0.04848018492657883,-0.13952833710576348
5,100,-0.04848018492657883,-0.13954431607244988
5,100,-0.04848018492657883,-0.13987987437286456
5,100,-0.04848018492657883,-0.13972008470600042
5,100,-0.04848018492657883,-0.13960823193919553
5,100,-0.04848018492657883,-0.13952833710576348
5,100,-0.04848018492657883,-0.13959225297250913
5,100,-0.04848018492657883,-0.13981595850611891
5,100,-0.04848018492657883,-0.13972008470600042
5,100,-0.04848018492657883,-0.13949637917239063
5,100,-0.04848018492657883,-0.1394484422723314
5,100,-0.04848018492657883,-0.13952833710576348
5,100,-0.04846420595989242,-0.13970410573931402
5,100,-0.04846420595989242,-0.13973606367268684
5,100,-0.04844822699320601,-0.1395602950391363
5,100,-0.04836833215977394,-0.13951235813907706
5,100,-0.04844822699320601,-0.13970410573931402
5,100,-0.04828843732634187,-0.13976802160605967
5,110,-0.048176584559536974,-0.13976802160605967
5,110,-0.04804875282604566,-0.13928865260546727
5,110,-0.04793690005924077,-0.1386494939380107
5,110,-0.0473776362252163,-0.1380263142372406
5,110,-0.04509264398905915,-0.13633254376848075
5,110,-0.042775693819529184,-0.13494237366676276
5,110,-0.04005926948283887,-0.13398363566557794
5,110,-0.037758298279995314,-0.1334563297649263
5,110,-0.03408313594212019,-0.1332166452646301
5,110,-0.03088734260483747,-0.13316870836457087
5,110,-0.0282188551682064,-0.13312077146451162
5,110,-0.02684466403317483,-0.13323262423131652
5,110,-0.025534388764888918,-0.1332166452646301
5,110,-0.025039040797610095,-0.13331251906474859
5,110,-0.024703482497195412,-0.13329654009806216
5,110,-0.024623587663763342,-0.13332849803143498
5,110,-0.02460760869707693,-0.13323262423131652
5,110,-0.024591629730390516,-0.13312077146451162
5,110,-0.024591629730390516,-0.13312077146451162
5,110,-0.0245756507637041,-0.13324860319800294
5,110,-0.0245756507637041,-0.1332006662979437
5,110,-0.0245756507637041,-0.13324860319800294
5,110,-0.0245756507637041,-0.13332849803143498
5,110,-0.0245756507637041,-0.1332166452646301
5,110,-0.0245756507637041,-0.13323262423131652
5,110,-0.0245756507637041,-0.13331251906474859
5,110,-0.0245756507637041,-0.13324860319800294
5,110,-0.0245756507637041,-0.1332166452646301
5,110,-0.0245756507637041,-0.13332849803143498
5,110,-0.0245756507637041,-0.13331251906474859
5,110,-0.0245756507637041,-0.13324860319800294
5,110,-0.0245756507637041,-0.1332166452646301
5,110,-0.0245756507637041,-0.13328056113137576
5,110,-0.0245756507637041,-0.13328056113137576
5,110,-0.0245756507637041,-0.13336045596480783
5,110,-0.0245756507637041,-0.13326458216468934
5,110,-0.0245756507637041,-0.13318468733125727
5,110,-0.0245756507637041,-0.13336045596480783
5,110,-0.0245756507637041,-0.1333444769981214
5,110,-0.0245756507637041,-0.13313675043119802
5,110,-0.0245756507637041,-0.1332166452646301
5,110,-0.0245756507637041,-0.1332166452646301
5,110,-0.0245756507637041,-0.1332166452646301
5,110,-0.0245756507637041,-0.13313675043119802
5,110,-0.0245756507637041,-0.13313675043119802
5,110,-0.0245756507637041,-0.13312077146451162
5,110,-0.0245756507637041,-0.13337643493149423
5,110,-0.0245756507637041,-0.1333444769981214
5,110,-0.0245756507637041,-0.1332006662979437
5,110,-0.0245756507637041,-0.13332849803143498
5,110,-0.0245756507637041,-0.13318468733125727
5,110,-0.0245756507637041,-0.13315272939788445
5,110,-0.0245756507637041,-0.13350426666498555
5,110,-0.0245756507637041,-0.13337643493149423
5,110,-0.0245756507637041,-0.1332166452646301
5,110,-0.0245756507637041,-0.13315272939788445
5,110,-0.0245756507637041,-0.13336045596480783
5,110,-0.0245756507637041,-0.1333444769981214
5,110,-0.0245756507637041,-0.13312077146451162
5,110,-0.0245756507637041,-0.13312077146451162
5,110,-0.0245756507637041,-0.1332006662979437
5,110,-0.0245756507637041,-0.13336045596480783
5,110,-0.0245756507637041,-0.13316870836457087
5,110,-0.0245756507637041,-0.13313675043119802
5,110,-0.0245756507637041,-0.13337643493149423
5,110,-0.0245756507637041,-0.13336045596480783
5,110,-0.0245756507637041,-0.13304087663107955
5,110,-0.0245756507637041,-0.13312077146451162
5,110,-0.0245756507637041,-0.13328056113137576
5,110,-0.0245756507637041,-0.13337643493149423
5,110,-0.0245756507637041,-0.1334563297649263
5,110,-0.0245756507637041,-0.13316870836457087
5,110,-0.0245756507637041,-0.13336045596480783
5,110,-0.0245756507637041,-0.13336045596480783
5,110,-0.0245756507637041,-0.13331251906474859
5,110,-0.0245756507637041,-0.13312077146451162
5,110,-0.0245756507637041,-0.13318468733125727
5,110,-0.0245756507637041,-0.13324860319800294
5,110,-0.0245756507637041,-0.13315272939788445
5,110,-0.0245756507637041,-0.13315272939788445
5,110,-0.0245756507637041,-0.13323262423131652
5,110,-0.0245756507637041,-0.13337643493149423
5,110,-0.0245756507637041,-0.13331251906474859
5,110,-0.0245756507637041,-0.1330888135311388
5,110,-0.0245756507637041,-0.13328056113137576
5,110,-0.0245756507637041,-0.13336045596480783
5,110,-0.0245756507637041,-0.13336045596480783
5,110,-0.024591629730390516,-0.13315272939788445
5,110,-0.024591629730390516,-0.13339241389818066
5,110,-0.024591629730390516,-0.13339241389818066
5,110,-0.024591629730390516,-0.13339241389818066
5,110,-0.024591629730390516,-0.1333444769981214
5,110,-0.024591629730390516,-0.13312077146451162
5,110,-0.024591629730390516,-0.1332166452646301
5,110,-0.024591629730390516,-0.13328056113137576
5,110,-0.024591629730390516,-0.1331047924978252
5,110,-0.024591629730390516,-0.13323262423131652
5,110,-0.024591629730390516,-0.1333444769981214
5,110,-0.024591629730390516,-0.13326458216468934
5,110,-0.024591629730390516,-0.1330888135311388
5,120,-0.024591629730390516,-0.13315272939788445
5,120,-0.024591629730390516,-0.13312077146451162
5,120,-0.0245756507637041,-0.13259346556385998
5,120,-0.02452771386364486,-0.13185843309628495
