Inclination_ref,Orientation_ref,M7,M8
-0.08726646259971647,-5.343529704782749e-18,-0.0002876214003554446,0.0
-0.08726646259971647,-5.343529704782749e-18,-0.00035153726710109896,-0.00030360036704185823
-0.08726646259971647,-5.343529704782749e-18,-0.00124635940154026,-0.0008309062676935066
-0.08726646259971647,-5.343529704782749e-18,-0.00226901326947073,-0.0014221280350908095
-0.08726646259971647,-5.343529704782749e-18,-0.003627225437815885,-0.0024767398363941067
-0.08726646259971647,-5.343529704782749e-18,-0.005225122106457244,-0.00436225790539091
-0.08726646259971647,-5.343529704782749e-18,-0.0077817567762834185,-0.0065034394413703315
-0.08726646259971647,-5.343529704782749e-18,-0.010546118013032969,-0.013470268916646657
-0.08726646259971647,-5.343529704782749e-18,-0.01802427442227453,-0.015387744919016287
-0.08726646259971647,-5.343529704782749e-18,-0.02114017292612518,-0.018919096556713692
-0.08726646259971647,-5.343529704782749e-18,-0.0245756507637041,-0.022690132694707297
-0.08726646259971647,-5.343529704782749e-18,-0.029337382836255352,-0.026684874366310694
-0.08726646259971647,-5.343529704782749e-18,-0.033316145541172335,-0.03039199463755865
-0.08726646259971647,-5.343529704782749e-18,-0.03798200381360511,-0.03478621047632239
-0.08726646259971647,-5.343529704782749e-18,-0.04236024068568243,-0.038908783881417094
-0.08726646259971647,-5.343529704782749e-18,-0.04584365542332059,-0.0439741163210102
-0.08726646259971647,-5.343529704782749e-18,-0.0491513015274082,-0.04862399562675655
-0.08726646259971647,-5.343529704782749e-18,-0.052698632131792024,-0.0551434140348133
-0.08726646259971647,-5.343529704782749e-18,-0.055558867168660056,-0.060400494074643374
-0.08726646259971647,-5.343529704782749e-18,-0.05853095497233298,-0.0659611744815153
-0.08726646259971647,-5.343529704782749e-18,-0.0611355265422184,-0.07342335192407044
-0.08726646259971647,-5.343529704782749e-18,-0.06375607707879022,-0.07909588509774727
-0.08726646259971647,-5.343529704782749e-18,-0.06546582651423648,-0.08515191347189802
-0.08726646259971647,-5.343529704782749e-18,-0.06735134458323329,-0.09104815217918463
-0.08726646259971647,-5.343529704782749e-18,-0.06845389328459582,-0.0958258632184223
-0.08726646259971647,-5.343529704782749e-18,-0.06952448405258553,-0.10116283809168444
-0.08726646259971647,-5.343529704782749e-18,-0.07024353755347414,-0.10659568676506506
-0.08726646259971647,-5.343529704782749e-18,-0.07072290655406654,-0.11127752400418424
-0.08726646259971647,-5.343529704782749e-18,-0.0708986751876171,-0.11655058301070073
-0.08726646259971647,-5.343529704782749e-18,-0.0708986751876171,-0.1200499767150253
-0.08726646259971647,-5.343529704782749e-18,-0.07088269622093069,-0.12314989625218954
-0.08726646259971647,-5.343529704782749e-18,-0.07094661208767634,-0.12632971062278583
-0.08726646259971647,-5.343529704782749e-18,-0.07088269622093069,-0.12928581945977236
-0.08726646259971647,-5.343529704782749e-18,-0.07094661208767634,-0.1316986434294208
-0.08726646259971647,-5.343529704782749e-18,-0.07085073828755786,-0.13390374083214587
-0.08726646259971647,-5.343529704782749e-18,-0.07096259105436276,-0.13572534303439704
-0.08726646259971647,-5.343529704782749e-18,-0.07086671725424427,-0.137307260736352
-0.08726646259971647,-5.343529704782749e-18,-0.07094661208767634,-0.13928865260546727
-0.08726646259971647,-5.343529704782749e-18,-0.0708986751876171,-0.14035924337345698
-0.08726646259971647,-5.343529704782749e-18,-0.07093063312098993,-0.1412221075745233
-0.08726646259971647,-5.343529704782749e-18,-0.07088269622093069,-0.14174941347517495
-0.08726646259971647,-5.343529704782749e-18,-0.07091465415430351,-0.14182930830860702
-0.08726646259971647,-5.343529704782749e-18,-0.07091465415430351,-0.14176539244186137
-0.08726646259971647,-5.343529704782749e-18,-0.07091465415430351,-0.14184528727529344
-0.08726646259971647,-5.343529704782749e-18,-0.07091465415430351,-0.1417973503752342
-0.08726646259971647,-5.343529704782749e-18,-0.07091465415430351,-0.14184528727529344
-0.08726646259971647,-5.343529704782749e-18,-0.07088269622093069,-0.14176539244186137
-0.08726646259971647,-5.343529704782749e-18,-0.07093063312098993,-0.14187724520866626
-0.08726646259971647,-5.343529704782749e-18,-0.07086671725424427,-0.14184528727529344
-0.08726646259971647,-5.343529704782749e-18,-0.07093063312098993,-0.14186126624197987
-0.08726646259971647,-5.343529704782749e-18,-0.07085073828755786,-0.14187724520866626
-0.08726646259971647,-5.343529704782749e-18,-0.07091465415430351,-0.14182930830860702
-0.08726646259971647,-5.343529704782749e-18,-0.07088269622093069,-0.14187724520866626
-0.08726646259971647,-5.343529704782749e-18,-0.07094661208767634,-0.1417973503752342
-0.08726646259971647,-5.343529704782749e-18,-0.07085073828755786,-0.14171745554180212
-0.08726646259971647,-5.343529704782749e-18,-0.07096259105436276,-0.14176539244186137
-0.08726646259971647,-5.343529704782749e-18,-0.07086671725424427,-0.1419411610754119
-0.08726646259971647,-5.343529704782749e-18,-0.07093063312098993,-0.14197311900878476
-0.08726646259971647,-5.343529704782749e-18,-0.0708986751876171,-0.14171745554180212
-0.08726646259971647,-5.343529704782749e-18,-0.07094661208767634,-0.14184528727529344
-0.08726646259971647,-5.343529704782749e-18,-0.07088269622093069,-0.14184528727529344
-0.08726646259971647,-5.343529704782749e-18,-0.07091465415430351,-0.14174941347517495
-0.08726646259971647,-5.343529704782749e-18,-0.07091465415430351,-0.1418932241753527
-0.08726646259971647,-5.343529704782749e-18,-0.07088269622093069,-0.14181332934192062
-0.08726646259971647,-5.343529704782749e-18,-0.0708986751876171,-0.14186126624197987
-0.08726646259971647,-5.343529704782749e-18,-0.07086671725424427,-0.14174941347517495
-0.08726646259971647,-5.343529704782749e-18,-0.07093063312098993,-0.14187724520866626
-0.08726646259971647,-5.343529704782749e-18,-0.07086671725424427,-0.14186126624197987
-0.08726646259971647,-5.343529704782749e-18,-0.07091465415430351,-0.14176539244186137
-0.08726646259971647,-5.343529704782749e-18,-0.07088269622093069,-0.14176539244186137
-0.08726646259971647,-5.343529704782749e-18,-0.07093063312098993,-0.14186126624197987
-0.08726646259971647,-5.343529704782749e-18,-0.07086671725424427,-0.14176539244186137
-0.08726646259971647,-5.343529704782749e-18,-0.07091465415430351,-0.14174941347517495
-0.08726646259971647,-5.343529704782749e-18,-0.07086671725424427,-0.1418932241753527
-0.08726646259971647,-5.343529704782749e-18,-0.07094661208767634,-0.1417973503752342
-0.08726646259971647,-5.343529704782749e-18,-0.07085073828755786,-0.14174941347517495
-0.08726646259971647,-5.343529704782749e-18,-0.07096259105436276,-0.14197311900878476
