inclination_ref,orientation_ref,pitch_ref,yaw_ref,M7,M8
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.000543284867338062,-0.00019174760023696308
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.0025566346698261745,-0.0007829693676342659
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.0034834147376381626,-0.001518001835209291
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.005368932806634966,-0.004010720638289811
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.009315737578179124,-0.006343649774506195
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.01223988848179281,-0.010530139046346556
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.018535601356239766,-0.013422332016587416
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.022146847827369236,-0.01703357848771689
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.026557042632819387,-0.020053603191449054
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.030471889470990717,-0.02376072346269701
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.03435477837578922,-0.027675570300868337
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.039372173915323085,-0.03246926030679242
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.04363855802059551,-0.03647998094508223
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.047745152459003806,-0.04144943958455685
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.051020840629718595,-0.046674561691014096
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.05452023433404317,-0.052219263131199616
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.05790777527156285,-0.058227354605291125
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.06051234684144827,-0.06460296231317014
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.06265352837742769,-0.07037136928696545
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.06506635234707614,-0.07781756776283419
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.06672816488246315,-0.0840653437372219
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.067958545317317,-0.0890188234100101
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.06910903091873878,-0.0945315669168228
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07011570581998283,-0.09921340415594199
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07062703275394806,-0.10431069452890791
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07097857002104917,-0.10897655280134068
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07101052795442199,-0.11385013764069683
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07102650692110841,-0.11835620624626546
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07104248588779483,-0.12212724238425907
