time,inclination_ref,orientation_ref,pitch_ref_rad,yaw_ref_rad,pitch_ref_deg,yaw_ref_deg,M7,M8
44:40.337245,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,0.0001438107001777223,-1.597896668641359e-05
44:40.350085,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,0.00012783173349130872,-4.793690005924077e-05
44:40.371230,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,1.597896668641359e-05,-0.003403519904206095
44:40.381196,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.0005912217673973029,-0.012064119848242261
44:40.411765,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.017417073688190815,-0.015595471485939665
44:40.443348,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.03320429277436744,-0.03152650127229401
44:40.452686,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.037278929279402906,-0.06337258187831629
44:40.502347,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.07550061759330422,-0.07251255082294487
44:40.511570,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.08253136293532619,-0.08134891940053159
44:40.526889,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.09755159162055496,-0.11185276680489513
44:40.553872,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.12674516375663258,-0.1240447183866287
44:40.564015,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.13634852273516718,-0.15512380859170313
44:40.590619,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.16699618083970844,-0.16760338157379215
44:40.599780,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.17568873871711743,-0.18161693535777687
44:40.610097,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.1847328338616275,-0.1895584818009244
44:40.618851,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.19264242237140225,-0.20373182525177327
44:40.627512,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.20194218098289496,-0.2185603063367651
44:40.639942,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.21330322629693502,-0.23648870695892113
44:40.648084,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.21859226427013792,-0.2617674322568274
44:40.697743,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.2507739031765749,-0.3388180096187138
44:40.710159,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.2550083293484745,-0.41933602275155185
44:40.757803,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27143470710210765,-0.44789043622017294
44:40.777059,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.2742789631722893,-0.4558958985300661
44:40.782993,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27506193253992356,-0.4670012803771236
44:40.791214,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.2755732594738888,-0.4774675035567245
44:40.800269,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27589283880761706,-0.4892599809712977
44:40.809173,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27598871260773555,-0.49972620415089863
44:40.817631,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.2760366495077948,-0.5126531882002072
44:40.827454,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.276084586407854,-0.529798619454729
44:40.863774,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27614850227459964,-0.5630668280958421
44:40.875488,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27614850227459964,-0.5703851948382195
44:40.900206,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27616448124128606,-0.5919408208981914
44:40.910652,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27616448124128606,-0.5984123024061889
44:40.919604,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27616448124128606,-0.6347005357510342
44:40.984290,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27616448124128606,-0.6409323327587355
44:41.001408,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27616448124128606,-0.6431054722280878
44:41.025771,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27614850227459964,-0.647867204300639
44:41.033878,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27614850227459964,-0.6487460474683918
44:41.040325,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27614850227459964,-0.6493692271691619
44:41.046224,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27614850227459964,-0.6497527223696358
44:41.052448,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27614850227459964,-0.6500083858366185
44:41.058516,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27614850227459964,-0.6501681755034826
44:41.069754,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27613252330791327,-0.6502001334368555
44:41.113304,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27611654434122684,-0.6502001334368555
44:41.159803,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.276084586407854,-0.6502001334368555
44:41.170500,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.276084586407854,-0.650184154470169
44:41.205307,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.2760686074411676,-0.650184154470169
44:41.212170,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.2760686074411676,-0.6501681755034826
44:41.222085,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.2760526284744812,-0.6501362175701098
44:41.268323,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27598871260773555,-0.6501362175701098
44:41.275857,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27598871260773555,-0.6501042596367369
44:41.337766,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27579696500749856,-0.6498326172030678
44:41.437017,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.27552532257382956,-0.6498006592696951
44:41.481044,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.2754773856737703,-0.6497527223696358
44:41.489542,23,95,0.3998981818700721,0.034986557478259524,22.912478056110146,2.004582083196139,-0.2754773856737703,-0.6497527223696358
