time,inclination_ref,orientation_ref,pitch_ref_rad,yaw_ref_rad,pitch_ref_deg,yaw_ref_deg,M7,M8
58:55.753050,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.0016138756353277727,3.195793337282718e-05
58:55.770759,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.003771036137993607,-0.0008468852343799203
58:55.786229,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.007621967109419282,-0.0071585770755132885
58:55.841390,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.032197617873123384,-0.026876621966547658
58:55.926804,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.0676070080502159,-0.1035756620613329
58:55.973095,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07070692758738013,-0.11245996753897884
58:55.986640,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07075486448743938,-0.1161511088435404
58:55.997074,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07091465415430351,-0.12153602061686176
58:56.005164,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07062703275394806,-0.1275920489910125
58:56.021587,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.0708986751876171,-0.13163472756267516
58:56.059799,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07129814935477743,-0.1407107806405581
58:56.073667,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.0712502124547182,-0.1415736448416244
58:56.083453,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07110640175454047,-0.14206899280890323
58:56.094710,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07120227555465895,-0.14208497177558965
58:56.121255,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07091465415430351,-0.14208497177558965
58:56.153751,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07096259105436276,-0.1418932241753527
58:56.193002,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07080280138749862,-0.1418932241753527
58:56.204376,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.0707868224208122,-0.14187724520866626
58:56.212493,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07093063312098993,-0.14186126624197987
58:56.235380,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07115433865459972,-0.14184528727529344
58:56.277108,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07075486448743938,-0.14174941347517495
58:56.286624,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07088269622093069,-0.14174941347517495
58:56.315272,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07075486448743938,-0.14174941347517495
58:56.354189,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07085073828755786,-0.14174941347517495
58:56.364186,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07086671725424427,-0.14174941347517495
58:56.425895,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07077084345412579,-0.14174941347517495
58:56.470321,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07072290655406654,-0.14174941347517495
58:56.483228,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07075486448743938,-0.14174941347517495
58:56.537856,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07069094862069372,-0.14174941347517495
58:56.609083,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07080280138749862,-0.14176539244186137
58:56.627402,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.0707868224208122,-0.1417973503752342
58:56.643885,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07110640175454047,-0.14182930830860702
58:56.672152,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07102650692110841,-0.14182930830860702
58:56.698314,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07096259105436276,-0.14182930830860702
58:56.705718,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07085073828755786,-0.14182930830860702
58:56.719755,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07099454898773558,-0.14182930830860702
58:56.741037,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07072290655406654,-0.14182930830860702
58:56.771208,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07110640175454047,-0.14182930830860702
58:56.781552,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07085073828755786,-0.14182930830860702
58:56.826315,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07077084345412579,-0.14182930830860702
58:56.856836,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07083475932087145,-0.14182930830860702
58:56.877254,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07075486448743938,-0.14182930830860702
58:56.889238,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07086671725424427,-0.14182930830860702
58:56.899380,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07083475932087145,-0.14182930830860702
58:57.027390,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07086671725424427,-0.14182930830860702
58:57.100226,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07105846485448124,-0.14182930830860702
58:57.198661,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07104248588779483,-0.14182930830860702
58:57.226033,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07104248588779483,-0.14182930830860702
58:57.237853,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07110640175454047,-0.14182930830860702
58:57.260920,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07105846485448124,-0.14182930830860702
58:57.273765,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07102650692110841,-0.14182930830860702
58:57.280676,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07070692758738013,-0.14181332934192062
58:57.301332,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07093063312098993,-0.14181332934192062
58:57.311131,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07096259105436276,-0.14181332934192062
58:57.318874,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07075486448743938,-0.1417813714085478
58:57.336224,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07091465415430351,-0.1417813714085478
58:57.357623,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07073888552075297,-0.14176539244186137
58:57.364803,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07101052795442199,-0.14176539244186137
58:57.373362,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.0708986751876171,-0.14176539244186137
58:57.381602,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07077084345412579,-0.14176539244186137
58:57.391178,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07113835968791331,-0.14176539244186137
58:57.398869,5,90,0.08726646259971647,-5.343529704782749e-18,5.0,-3.0616169978683826e-16,-0.07107444382116765,-0.14176539244186137
